"filename", "language", "Lean", "Markdown", "comment", "blank", "total"
"e:\Logic\LEAN\Lean\ipl\README.md", "Markdown", 0, 11, 0, 5, 16
"e:\Logic\LEAN\Lean\ipl\src\completeness\completeness.lean", "Lean", 406, 0, 27, 73, 506
"e:\Logic\LEAN\Lean\ipl\src\completeness\default.lean", "Lean", 1, 0, 5, 1, 7
"e:\Logic\LEAN\Lean\ipl\src\completeness\nolem.lean", "Lean", 75, 0, 6, 17, 98
"e:\Logic\LEAN\Lean\ipl\src\completeness\semantics.lean", "Lean", 69, 0, 9, 24, 102
"e:\Logic\LEAN\Lean\ipl\src\completeness\soundness.lean", "Lean", 75, 0, 5, 12, 92
"e:\Logic\LEAN\Lean\ipl\src\completeness\theory.lean", "Lean", 113, 0, 9, 19, 141
"e:\Logic\LEAN\Lean\ipl\src\default.lean", "Lean", 1, 0, 5, 1, 7
"e:\Logic\LEAN\Lean\ipl\src\encoding\encodable.lean", "Lean", 65, 0, 15, 26, 106
"e:\Logic\LEAN\Lean\ipl\src\encoding\encode.lean", "Lean", 35, 0, 5, 10, 50
"e:\Logic\LEAN\Lean\ipl\src\language.lean", "Lean", 14, 0, 7, 5, 26
"Total", "-", 854, 11, 93, 193, 1151